,clust,Unnamed: 0,Murder,Assault,UrbanPop,Rape
0,0,Alabama,13.2,236,58,21.2
1,0,Alaska,10.0,263,48,44.5
2,0,Arizona,8.1,294,80,31.0
3,1,Arkansas,8.8,190,50,19.5
4,0,California,9.0,276,91,40.6
5,0,Colorado,7.9,204,78,38.7
6,2,Connecticut,3.3,110,77,11.1
7,2,Delaware,5.9,238,72,15.8
8,0,Florida,15.4,335,80,31.9
9,0,Georgia,17.4,211,60,25.8
10,2,Hawaii,5.3,46,83,20.2
11,1,Idaho,2.6,120,54,14.2
12,0,Illinois,10.4,249,83,24.0
13,2,Indiana,7.2,113,65,21.0
14,1,Iowa,2.2,56,57,11.3
15,2,Kansas,6.0,115,66,18.0
16,1,Kentucky,9.7,109,52,16.3
17,0,Louisiana,15.4,249,66,22.2
18,1,Maine,2.1,83,51,7.8
19,0,Maryland,11.3,300,67,27.8
20,2,Massachusetts,4.4,149,85,16.3
21,0,Michigan,12.1,255,74,35.1
22,1,Minnesota,2.7,72,66,14.9
23,0,Mississippi,16.1,259,44,17.1
24,0,Missouri,9.0,178,70,28.2
25,1,Montana,6.0,109,53,16.4
26,1,Nebraska,4.3,102,62,16.5
27,0,Nevada,12.2,252,81,46.0
28,1,New Hampshire,2.1,57,56,9.5
29,2,New Jersey,7.4,159,89,18.8
30,0,New Mexico,11.4,285,70,32.1
31,0,New York,11.1,254,86,26.1
32,0,North Carolina,13.0,337,45,16.1
33,1,North Dakota,0.8,45,44,7.3
34,2,Ohio,7.3,120,75,21.4
35,2,Oklahoma,6.6,151,68,20.0
36,2,Oregon,4.9,159,67,29.3
37,2,Pennsylvania,6.3,106,72,14.9
38,2,Rhode Island,3.4,174,87,8.3
39,0,South Carolina,14.4,279,48,22.5
40,1,South Dakota,3.8,86,45,12.8
41,0,Tennessee,13.2,188,59,26.9
42,0,Texas,12.7,201,80,25.5
43,2,Utah,3.2,120,80,22.9
44,1,Vermont,2.2,48,32,11.2
45,2,Virginia,8.5,156,63,20.7
46,2,Washington,4.0,145,73,26.2
47,1,West Virginia,5.7,81,39,9.3
48,1,Wisconsin,2.6,53,66,10.8
49,2,Wyoming,6.8,161,60,15.6
